authors,year,title,doi,pedro_score,manuscript_language,study_country,continent,subregion,economy,english_offical_lang,nonofficiallang_excluded,eng_study,samplesize_report,samplesize_total,sex_report,gender_report,g_gendersex_report,sexgender_femalewoman,sexgender_maleman,age_report_plus,age_mean,height_report,height_mean,weight_report,weight_mean,bmi_report,bmi_mean,comorbidities_report,comorbidities_howmany,comorbidities_mean,p_geog_report,p_geog_categories,p_geog_desc,p_geog_prop,r_ethnicityrace_report,r_ethnicityrace_lumped,r_ethnicityrace_class,r_ethnicityrace_categories,r_ethnicityrace_desc,r_ethnicityrace_prop,r_prilangspoken_report,r_cob_report,r_cob_categories,r_cob_desc,r_cob_prop,o_employment_report,o_employment_categories,o_employment_desc,o_employment_prop,r_religion_report,e_edu_report,e_edu_categories,e_edu_desc,e_edu_prop,e_edu_mean,se_income_report,se_income_categories,se_income_desc,se_income_prop,sc_report,sc_marital_categories,sc_marital_desc,sc_marital_prop,sc_livingarrangement_categories,sc_livingarrangement_desc,sc_livingarrangement_prop,plus_characteristics,plus_which,painvas_report,painvas100_mean,womac_report,womac_painmean,womac_stiffmean,womac_funcmean,womac_totalonly,koos_report,koos_painmean,koos_sympmean,koos_adlmean,koos_sportmean,koos_qolmean,sexgender_report
H. Lund; U. Weile; R. Christensen; B. Rostock; A. Downey; E. M. Bartels; B. Danneskiold-Samsøe; H. Bliddal,2008,A randomized controlled trial of aquatic and land-based exercise in patients with knee osteoarthritis,10.2340/16501977-0134,8,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,79,no,no,unknown,62,17,yes,68,yes,170.987,yes,75.529,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,22.822,no,,,,,yes,42.025,50.489,41.659,74.882,60.588,yes
K. K. Mangione; K. McCully; A. Gloviak; I. Lefebvre; M. Hofmann; R. Craik,1999,The effects of high-intensity and low-intensity cycle ergometry in older adults with knee osteoarthritis,10.1093/gerona/54.4.M184,4,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,39,yes,no,yes,26,13,yes,71,no,NA,no,NA,yes,29.35,yes,NA,NA,no,NA,,,yes,unknown,unknown,2,caucasian or not caucasian,95v5,no,no,NA,,,no,NA,,,no,yes,2,highschoolandmore or nothighschoolandmore,95v5,NA,no,,,,yes,2,married or notmarried,64v36,NA,,,no,,no,NA,unclear,,nr,nr,,no,NA,,,NA,NA,yes
B. T. Maurer; A. G. Stern; B. Kinossian; K. D. Cook; H. R. Schumacher,1999,Osteoarthritis of the knee: Isokinetic quadriceps exercise versus an educational intervention,https://doi.org/10.1016/S0003-9993(99)90032-1,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,113,yes,no,no,47,66,yes,65.407,no,NA,yes,84.85,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.66308,3.171,26.45952,37.2938,no,NA,,,NA,NA,yes
S. A. Mazzuca; K. D. Brandt; B. P. Katz; M. Chambers; D. Byrd; M. Hanna,1997,Effects of self-care education on the health status of inner-city patients with osteoarthritis of the knee,10.1002/art.1780400815,3,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,211,yes,no,yes,179,32,yes,62.398,no,NA,no,NA,no,NA,yes,NA,1.6,yes,1,innercity,100,yes,no,race,2,africanamerican or notafricanamerican,69v31,no,no,NA,,,yes,3,employed or unemployed or retired,15v53v32,no,yes,years,,,9.7,yes,2,less20000 or notless20000,91v9,yes,NA,,,2,livingalone or notlivingalone,73v27,personal characteristics,medicalinsurance,yes,41.3,no,,,,,no,NA,,,NA,NA,yes
C. J. McCarthy; P. M. Mills; R. Pullen; C. Roberts; A. Silman; J. A. Oldham,2004,Supplementing a home exercise programme with a class-based exercise programme is more effective than home exercise alone in the treatment of knee osteoarthritis,10.1093/rheumatology/keh188,6,english,england,europe ,north europe,high income,yes,unknown,unknown,yes,214,no,no,unknown,NA,NA,yes,64.692,no,NA,no,NA,yes,29.785,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,62.818,yes,9.792523364,4.344392523,30.17757009,,no,NA,,,NA,NA,no
P. E. McKnight; S. Kasle; S. Going; I. Villanueva; M. Cornett; J. Farr; J. Wright; C. Streeter; A. Zautra,2010,"A comparison of strength training, self-management, and the combination for early osteoarthritis of the knee",10.1002/acr.20013,6,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,273,yes,no,yes,210,63,yes,52.589,no,NA,no,NA,yes,27.726,no,NA,NA,no,NA,,,yes,no,race,2,white or notwhite,92v8,no,no,NA,,,no,NA,,,no,yes,2,collegeeducated or notcollegeeducated,63v37,NA,no,,,,no,NA,,,NA,,,no,,no,NA,unclear,,,,,no,NA,,,NA,NA,yes
S. P. Messier; R. F. Loeser; G. D. Miller; T. M. Morgan; W. J. Rejeski; M. A. Sevick; W. H. Ettinger Jr; M. Pahor; J. D. Williamson,2004,"Exercise and Dietary Weight Loss in Overweight and Obese Older Adults with Knee Osteoarthritis: The Arthritis, Diet, and Activity Promotion Trial",10.1002/art.20256,8,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,316,yes,no,yes,288,28,yes,68.74,yes,165,yes,93.765,yes,34.229,yes,5,NA,no,NA,,,yes,no,race,2,white or notwhite,76v24,no,no,NA,,,no,NA,,,no,yes,3,lessthan12 or 12 or morethan12,2v10v88,NA,yes,4,lessthan15000 or 15000to35000 or 35000to50000 or morethan50000,18v33v23v26,no,NA,,,NA,,,no,,no,NA,yes,nr,nr,24.22,,no,NA,,,NA,NA,yes
S. P. Messier; R. F. Loeser; M. N. Mitchell; G. Valle; T. P. Morgan; W. J. Rejeski; W. H. Ettinger,2000,Exercise and weight loss in obese older adults with knee osteoarthritis: a preliminary study,10.1111/j.1532-5415.2000.tb04781.x,6,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,24,no,yes,no,17,7,yes,67.9,no,NA,yes,99.06,yes,36.375,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
S. P. Messier; S. L. Mihalko; D. P. Beavers; B. J. Nicklas; P. Devita; J. J. Carr; D. J. Hunter; M. Lyles; A. Guermazi; K. L. Bennell; R. F. Loeser,2021,Effect of high-intensity strength training on knee pain and knee joint compressive forces among adults with knee osteoarthritis: The START randomized clinical trial,10.1001/jama.2021.0411,6,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,377,yes,no,no,151,226,yes,65,yes,168.3,yes,89,yes,31.32,yes,6,NA,no,NA,,,yes,no,race and ethnicity,4v2,white or black or asian or morethan1race or hispanic or nothispanic,79v19v1v2v2v98,no,no,NA,,,no,NA,,,no,yes,7,lessthanhigh or highschool or vocschool or somecollegecommcollege or college or postcollege or graddeg,3v8v8v25v25v9v23,NA,yes,6,lessthan20000 or 20000to34999 or 35000to49999 or 50000to74999 or 75000to99999 or morethan100000,7v10v16v24v18v25,no,NA,,,NA,,,no,,no,NA,yes,7.19,nr,25.703,,no,NA,,,NA,NA,yes
S. P. Messier; S. L. Mihalko; C. Legault; G. D. Miller; B. J. Nicklas; P. DeVita; D. P. Beavers; D. J. Hunter; M. F. Lyles; F. Eckstein; J. D. Williamson; J. J. Carr; A. Guermazi; R. F. Loeser,2013,"Effects of intensive diet and exercise on knee joint loads, inflammation, and clinical outcomes among overweight and obese adults with knee osteoarthritis: the IDEA randomized clinical trial",10.1001/jama.2013.277669,7,english,united states of america,americas,north america,high income,yes,yes,unknown,yes,454,yes,no,yes,325,129,yes,66,yes,166,yes,93,yes,33.6,yes,5,NA,no,NA,,,yes,yes,both,2,white or nonwhite,81v19,no,no,NA,,,no,NA,,,no,yes,2,lessthanhigh or highschool,16v84,NA,yes,4,lessthan20000 or 20000to34999 or 35000to49999 or morethan50000,9v15v19v57,no,NA,,,NA,,,no,,no,NA,yes,6.5,nr,24.2,,no,NA,,,NA,NA,yes
A. E. Mikesky; S. A. Mazzuca; K. D. Brandt; S. M. Perkins; T. Damush; K. A. Lane,2006,Effects of strength training on the incidence and progression of knee osteoarthritis,10.1002/art.22245,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,221,yes,no,yes,128,93,yes,69,no,NA,no,NA,yes,29.306,no,NA,NA,no,NA,,,yes,no,race,2,white or nonwhite,92v8,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,2.9,nr,11.53,,no,NA,,,NA,NA,yes
G. D. Miller; M. Z. Jenks; M. Vendela; J. L. Norris; G. K. Muday,2012,"Influence of weight loss, body composition, and lifestyle behaviors on plasma adipokines: A randomized weight loss trial in older men and women with symptomatic knee osteoarthritis",10.1155/2012/708505,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,51,no,yes,yes,27,24,yes,69.3,no,NA,yes,101.2,yes,35,yes,11,NA,no,NA,,,yes,no,race,2,white or nonwhite,88v12,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
G. D. Miller; B. J. Nicklas; C. Davis; R. F. Loeser; L. Lenchik; S. P. Messier,2006,Intensive weight loss program improves physical function in older obese adults with knee osteoarthritis,10.1038/oby.2006.139,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,87,yes,no,yes,54,33,yes,69.5,no,NA,yes,97.8,yes,34.6,yes,11,NA,no,NA,,,yes,yes,both,5,white or black or hispanic or asianpacificislander or nativeamerican,84v12v0v0v2,no,no,NA,,,no,NA,,,no,yes,9,none or highschool or highschoolgraduate or voctraining or somecollege or associatedeg or collegegrad or gradprofsch or mastersdoctordeg,0v6v15v10v21v8v16v14v10,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,6.4,3.45,25.33,,no,NA,,,NA,NA,yes
G. D. Miller; B. J. Nicklas; R. F. Loeser,2008,"Inflammatory biomarkers and physical function in older, obese adults with knee pain and self-reported osteoarthritis after intensive weight-loss therapy",10.1111/j.1532-5415.2007.01636.x,4,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,67,yes,no,yes,40,27,yes,69.7,no,NA,yes,98.7,yes,34.6,yes,4,NA,no,NA,,,yes,no,race,2,caucasian or notcaucasian,91v9,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,5.45,3.15,21.3,29.9,no,NA,,,NA,NA,yes
M. Nahayatbin; M. Ghasemi; A. Rahimi; K. Khademi-Kalantari; S. S. Naimi; S. M. Tabatabaee; S. Zarein-Dolab,2018,The effects of routine physiotherapy alone and in combination with either Tai Chi or closed kinetic chain exercises on knee osteoarthritis: A comparative clinical trial study,10.5812/ircmj.62600,5,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,48,no,no,unknown,NA,NA,yes,55.79,yes,162.456,yes,75.74,yes,29.003,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,yes,45.043,35.623,51.17,25.73,27.543,no
G. S. Nambi; A. A. Shah,2013,Additional effect of iyengar yoga and EMG biofeedback on pain and functional disability in chronic unilateral knee osteoarthritis,https://doi.org/10.4103/0973-6131.113413,4,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,30,no,yes,no,13,17,yes,53,no,NA,no,NA,yes,22.65,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,52.235,yes,,,,49.33,no,NA,,,NA,NA,yes
B. J. Nicklas; W. Ambrosius; S. P. Messier; G. D. Miller; B. W. J. H. Penninx; R. F. Loeser; S. Palla; E. Bleecker; M. Pahor,2004,"Diet-induced weight loss, exercise, and chronic inflammation in older, obese adults: A randomized controlled clinical trial",10.1093/ajcn/79.4.544,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,272,yes,no,no,195,77,yes,68.503,no,NA,yes,93.943,yes,34.357,no,NA,NA,no,NA,,,yes,no,race,2,white or nonwhite,22v78,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
K. M. O'Brien; J. Wiggers; A. Williams; E. Campbell; R. K. Hodder; L. Wolfenden; S. L. Yoong; E. K. Robson; R. Haskins; S. J. Kamper; C. Rissel; C. M. Williams,2018,Telephone-based weight loss support for patients with knee osteoarthritis: a pragmatic randomised controlled trial,10.1016/j.joca.2018.01.003,7,english,australia,oceania,australia and new zealand,high income,yes,yes,unknown,yes,119,no,yes,no,74,45,yes,61.588,no,NA,yes,91.384,yes,32.744,yes,NA,NA,no,NA,,,yes,unknown,unknown,2,atsi or notatsi,6v94,no,yes,2,australia or notaustralia,89v11,yes,4,employed or unemployed or retired or cantworkhealthreasons,22v12v50v16,no,yes,2,morethanhighschool or notmorethanhighschool,24v76,NA,no,,,,no,NA,,,NA,,,personal characteristics,smokingdrinking,yes,68.495,yes,9.4,4.15,34.69,48.25,no,NA,,,NA,NA,yes
S. C. O'Reilly; K. R. Muir; M. Doherty,1999,Effectiveness of home exercise on pain and disability from osteoarthritis of the knee: a randomised controlled trial,10.1136/ard.58.1.15,7,english,england,europe ,north europe,high income,yes,unknown,unknown,yes,180,no,no,unknown,119,61,yes,62.024,no,NA,yes,76.282,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,6.57,nr,20.032,,no,NA,,,NA,NA,yes
R. Oguz; M. Belviranli; N. Okudan,2021,"Effects of Exercise Training Alone and in Combination With Kinesio Taping on Pain, Functionality, and Biomarkers Related to the Cartilage Metabolism in Knee Osteoarthritis",10.1177/19476035211007895,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,22,no,no,unknown,22,0,yes,49.59,yes,157.5,yes,81.28,yes,32.83,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,55,yes,nr,nr,nr,44.225,no,NA,,,NA,NA,yes
S. L. Oh; D. Y. Kim; J. H. Bae; J. Y. Lim,2020,Effects of rural community-based integrated exercise and health education programs on the mobility function of older adults with knee osteoarthritis,,4,english,korea,asia,east asia,high income,no,unknown,unknown,yes,60,no,no,unknown,60,0,yes,71.98,yes,151.27,yes,57.516,yes,25.073,yes,4,NA,yes,1,rural,100,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,5.57,1.92,17.48,,no,NA,,,NA,NA,yes
O. M. Olagbegi; B. O. A. Adegoke; A. C. Odole,2016,Effectiveness of combined chain exercises on pain and function in patients with knee osteoarthritis,,5,english,nigeria,africa,west africa,lower-middle income,yes,unknown,unknown,yes,83,no,no,unknown,51,32,yes,61.1,yes,160,yes,78.43,yes,30.62,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,50.93,no,,,,,no,NA,,,NA,NA,yes
L. Pazit; D. Jeremy; B. Nancy; B. Michael; E. George; K. D. Hill,2018,Safety and feasibility of high speed resistance training with and without balance exercises for knee osteoarthritis: A pilot randomised controlled trial,10.1016/j.ptsp.2018.10.001,6,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,28,no,yes,no,9,19,yes,67.8,yes,166.96,yes,84.4,yes,30.335,yes,10,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,6.129,3.52,22.866,32.52328571,no,NA,,,NA,NA,yes
L. Péloquin; G. Bravo; P. Gauthier; G. Lacombe; J. S. Billiard,1999,Effects of a cross-training exercise program in persons with osteoarthritis of the knee a randomized controlled trial,10.1097/00124743-199906000-00004,6,english,canada,americas,north america,high income,yes,unknown,unknown,yes,124,yes,no,yes,87,37,yes,66.05,no,NA,no,NA,yes,29.779,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,yes,4,married or separated or widowed or nevermarried,58v6v22v14,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
S. Rewald; A. F. T. Lenssen; P. J. Emans; R. A. de Bie; G. van Breukelen; I. Mesters,2020,Aquatic Cycling Improves Knee Pain and Physical Functioning in Patients With Knee Osteoarthritis: A Randomized Controlled Trial,10.1016/j.apmr.2019.12.023,7,english,netherlands,europe ,west europe,high income,no,unknown,unknown,yes,102,no,no,unknown,63,39,yes,59.921,no,NA,no,NA,yes,29,yes,NA,1.53,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,yes,57.377,60.365,63.878,20.787,39.174,yes
S. R. Robbins; L. R. S. Melo; H. Urban; L. A. Deveza; R. Asher; V. L. Johnson; D. J. Hunter,2021,Effectiveness of Stepped-Care Intervention in Overweight and Obese Patients With Medial Tibiofemoral Osteoarthritis: A Randomized Controlled Trial,10.1002/acr.24148,8,english,australia,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,171,yes,no,yes,109,62,yes,63.1,no,NA,yes,100.4,yes,34.9,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,61,yes,nr,nr,34,,no,NA,,,NA,NA,yes
M. W. Rogers; N. Tamulevicius; M. F. Coetsee; B. F. Curry; S. J. Semple,2011,"Knee Osteoarthritis and the Efficacy of Kinesthesia, Balance & Agility Exercise Training: A Pilot Study",,4,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,20,no,no,unknown,16,4,yes,69.3,no,NA,no,NA,yes,32.466,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,8.396,4.334,30.4,,no,NA,,,NA,NA,yes
M. W. Rogers; N. Tamulevicius; S. J. Semple; Z. Krkeljas,2012,"Efficacy of home-based kinesthesia, balance & agility exercise training among persons with symptomatic knee osteoarthritis",,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,33,no,no,unknown,20,13,yes,70.7,yes,167.515,yes,81.903,yes,29.272,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,7.513030303,4.240909091,30.69666667,43.72484848,no,NA,,,NA,NA,yes
H. Røgind; B. Bibow-Nielsen; B. Jensen; H. C. Møller; H. Frimodt-Møller; H. Bliddal,1998,The effects of a physical training program on patients with osteoarthritis of the knees,10.1016/s0003-9993(98)90238-6,7,english,denmark,europe ,north europe,high income,no,unknown,unknown,yes,23,no,yes,yes,21,2,yes,71.2,yes,162,yes,71,yes,27.1,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,47.39,no,,,,,no,NA,,,NA,NA,yes
M. G. Rosemffet; E. E. Schneeberger; G. Citera; M. E. Sgobba; C. Laiz; H. Schmulevich; P. Artçanuturry; S. Gagliardi; J. A. Maldonado Cocco,2004,"Effects of functional electrostimulation on pain, muscular strength, and functional capacity in patients with osteoarthritis of the knee",10.1097/01.rhu.0000141831.40350.91,4,english,argentina,americas,south america,upper-middle income,no,unknown,unknown,yes,26,no,no,unknown,20,6,yes,60,no,NA,no,NA,yes,30.962,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,60.269,unclear,,,,,no,NA,,,NA,NA,yes
A. J. Salacinski; K. Kelly; F. L. Sco; L. H. Megan; I. Kathryn; M. Gregory,2012,The effects of group cycling on gait and pain-related disability in individuals with mild-to-moderate knee osteoarthritis: A randomized controlled trial,10.2519/jospt.2012.3813,6,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,37,no,yes,no,27,10,yes,57.7,no,NA,no,NA,yes,23.8,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,14.6,yes,14.28,4.816,48.144,,yes,67.3,65.4,72.5,52.7,49.9,yes
G. Samut; F. Dinçer; O. Özdemir,2015,"The effect of isokinetic and aerobic exercises on serum interleukin-6 and tumor necrosis factor alpha levels, pain, and functional activity in patients with knee osteoarthritis",10.3109/14397595.2015.1038425,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,42,no,yes,no,38,4,yes,60.353,yes,157.95,yes,79.002,yes,31.617,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,personal characteristics,smokingdrinking,yes,67.503,yes,8.052619048,3.098809524,30.13833333,41.211,no,NA,,,NA,NA,yes
M. Sarallahi; A. Amiri; J. Sarafzadeh; A. A. Jamshidi,2016,"The effect of quadriceps kinesio tape on functional disability, pain, and knee joint position sense in knee osteoarthritis patients",,3,english,iran,asia,south asia,upper-middle income,no,unknown,unknown,yes,38,no,no,unknown,38,0,yes,55.63,yes,159.68,yes,60,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,61.85,yes,nr,nr,nr,61.97,no,NA,,,NA,NA,yes
A. A. Saswadkar; A. P. Shimpi; A. Shyam; P. K. Sancheti,2016,Short term effects of kinseio taping on vatus medialis in patient with osteoarthritis knee for gait and joint function enhancement,,5,english,india,asia,south asia,lower-middle income,yes,unknown,unknown,yes,72,no,no,unknown,46,26,yes,52.35,yes,159.85,yes,70.7,yes,27.7,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,10.95,5.55,33.9,,no,NA,,,NA,NA,yes
S. P. Sayers; K. Gibson; C. R. Cook,2012,"Effect of high-speed power training on muscle performance, function, and pain in older adults with knee osteoarthritis: a pilot investigation",10.1002/acr.20675,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,33,yes,no,yes,25,8,yes,67.6,yes,169.163,yes,87.56,yes,30.624,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,11.77878788,nr,40.91818182,,no,NA,,,NA,NA,yes
J. M. Schilke; G. O. Johnson; T. J. Housh; J. R. O'Dell,1996,Effects of muscle-strength training on the functional status of patients with osteoarthritis of the knee joint,10.1097/00006199-199603000-00002,4,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,20,no,no,unknown,17,3,yes,66.45,no,NA,no,NA,no,NA,no,NA,NA,no,NA,,,yes,unknown,unknown,2,white or nonwhite,90v10,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
E. A. Schlenk; J. L. Lias; S. M. Sereika; J. Dunbar-Jacob; C. K. Kwoh,2011,Improving physical activity and function in overweight and obese older adults with osteoarthritis of the knee: a feasibility study,10.1002/j.2048-7940.2011.tb00063.x,5,english,united states of america,americas,north america,high income,yes,yes,unknown,yes,26,no,yes,yes,23,3,yes,63.2,no,NA,no,NA,yes,33.3,no,NA,NA,no,NA,,,yes,no,race,2,white or nonwhite,83v17,no,no,NA,,,yes,2,employed or unemployed,29v71,no,yes,years,,,14.3,yes,2,lessthan30000 or notlessthan30000,39v61,yes,2,married or notmarried,54v46,NA,,,no,,no,NA,yes,nr,nr,23.05,,no,NA,,,NA,NA,yes
U. Sekir; H. Gür,2005,"A multi-station proprioceptive exercise program in patients with bilateral knee osteoarthrosis: functional capacity, pain and sensoriomotor function. A randomized controlled trial",,4,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,22,no,no,unknown,16,6,yes,60.363,yes,158,yes,78.41,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,no,,,,,no,NA,,,NA,NA,yes
N. Shahine; N. El Ashri; M. Senna; S. Elhameed,2020,Effect of a pedometer based aerobic walking program on pain and function among elderly patients with knee osteoarthritis,Effect-of-a-Pedometer-Based-Aerobic-Walking-Program-on-Pain-and-Function-among-Elderly-Patients-with-Knee-Osteoarthritis.pdf (researchgate.net),5,english,egypt,africa,north africa,lower-middle income,no,unknown,unknown,yes,66,yes,no,yes,37,29,yes,66.23,no,NA,no,NA,no,NA,yes,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,2,workingbeforeretirement or notworkingbeforeretirement,82v18,no,yes,4,illiterate or literate or secsch or uni,17v29v6v48,NA,yes,2,adequate or inadequate,79v21,yes,2,married or single,73v27,2,livingalone or livingwithfamily,17v83,no,,no,NA,yes,15.07,6.012,54.06,75.456,no,NA,,,NA,NA,yes
L. E. Silva; V. Valim; A. P. Pessanha; L. M. Oliveira; S. Myamoto; A. Jones; J. Natour,2008,Hydrotherapy versus conventional land-based exercise for the management of patients with osteoarthritis of the knee: a randomized clinical trial,10.2522/ptj.20060040,7,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,64,no,no,unknown,59,5,yes,59,yes,153,yes,75.5,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,65.05,yes,nr,nr,nr,33.89,no,NA,,,NA,NA,yes
M. Silvis; J. Sylvester; B. Hacken; J. Wawrzyniak; R. Kelly; S. Lynch,2016,Comparison of three exercise modalities on patient reported symptoms of knee osteoarthritis: a randomized prospective study,[PDF] Comparison of Three Exercise Modalities on Patient Reported Symptoms of Knee Osteoarthritis: A Randomized Prospective Study | Semantic Scholar,5,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,61,no,yes,no,38,23,yes,58.231,no,NA,no,NA,yes,31.663,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,nr,nr,nr,68.823,unclear,NA,,,NA,NA,yes
A. P. Simão; N. C. Avelar; R. Tossige-Gomes; C. D. Neves; V. A. Mendonça; A. S. Miranda; M. M. Teixeira; A. L. Teixeira; A. P. Andrade; C. C. Coimbra; A. C. Lacerda,2012,Functional performance and inflammatory cytokines after squat exercises and whole-body vibration in elderly individuals with knee osteoarthritis,10.1016/j.apmr.2012.04.017,7,english,brazil,americas,south america,upper-middle income,no,unknown,unknown,yes,31,yes,no,no,27,4,yes,71.6,yes,156.32,yes,70.71,yes,28.7,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,10.14285714,3.657142857,33.257,,no,NA,,,NA,NA,yes
